state,rotation,action,utility
"[795.1101920615686, 755.5369650256594, 945.6900430480298]",72.64239,[15.71210301 15.73438341],0.06666666666666665
"[264.8559363375116, 1361.57941634457, 987.6535966690042]",65.57482,[18.4693105  18.78619111],1.0
"[289.5462735151326, 1379.028703293191, 969.8717464214018]",63.15806,[15.08643714  1.3844093 ],0.9333333333333333
"[320.6691415594896, 1393.304036579418, 940.4300177836202]",88.3127,[15.09999045  0.79642907],0.8666666666666667
"[475.86288486237294, 1436.378433836132, 771.6861312668125]",92.38224,[17.10388646 16.5057846 ],0.8
"[617.6149048246874, 1478.0525060570778, 619.9645643596155]",101.0835,[18.63623136 14.83124286],0.7333333333333334
"[630.1304237491518, 1481.078239302126, 606.1170967183533]",102.4365,[13.12543531 17.85808024],0.6666666666666667
"[719.2287717412103, 1511.216789908175, 512.1505502294906]",92.61711,[13.65221753 17.94536202],0.6
"[834.661418292136, 1573.9576116228288, 403.304950608643]",82.1236,[13.09937209 16.55233677],0.5333333333333333
"[834.6436086338467, 1573.9730218251295, 403.3386089048878]",82.12212,[10.63216754 13.48528767],0.4666666666666667
"[935.364875126584, 1623.4401774074001, 305.0411277525869]",168.1663,[16.13902059  0.44009244],0.4
"[944.9849033715301, 1581.9014595100732, 267.1501218418214]",162.0626,[11.31178498 14.5127052 ],0.33333333333333337
"[946.5174469741696, 1578.4150016476972, 263.7835427514385]",161.4721,[15.14630188  0.79356112],0.2666666666666667
"[931.5323699486187, 1512.069494521363, 268.65828902546446]",218.1586,[16.54712861  1.46403483],0.19999999999999996
"[897.6483714383544, 1448.8357114407174, 310.50519922527866]",210.6163,[14.78367353 19.46533197],0.1333333333333333
"[866.2311433175789, 1355.905569592986, 376.0275437428487]",201.3213,[14.6590545  18.96733632],0.06666666666666665
"[250.93546167622463, 1339.3351357769495, 987.7305128053198]",59.99383,[18.12840396 17.76506818],1.0
"[269.52098761716127, 1349.8564526519588, 971.9180432351948]",72.41796,[18.0221073   2.83721461],0.9333333333333333
"[345.0335405362934, 1371.6624599714792, 892.3621148922729]",86.91908,[14.27941088 17.64584996],0.8666666666666667
"[452.5462207410531, 1405.6669882682063, 781.2719385124556]",89.51465,[18.2936083  17.94117248],0.8
"[525.4187370232752, 1432.2497440094496, 707.4234271036927]",87.87702,[18.51132245 19.20288028],0.7333333333333334
"[602.6455024034989, 1466.5063523787292, 631.8132521300622]",83.43684,[13.96591584 16.63387999],0.6666666666666667
"[619.7790304963219, 1475.4099791728943, 615.6934304042561]",81.99815,[14.74970568 18.90080094],0.6
"[910.4765240752834, 1612.9416793214223, 330.5853912262458]",165.1103,[11.18993991 13.76065444],0.5333333333333333
"[910.4765240752834, 1612.9416793214223, 330.5853912262458]",165.1102,[16.60459428  2.90272387],0.4666666666666667
"[896.5026496512545, 1555.7663194810846, 315.2427014725638]",206.0963,[15.7613023   3.05589624],0.4
"[839.9848570338216, 1461.57889969927, 360.0453305434331]",210.5201,[10.42320662 14.35105219],0.33333333333333337
"[839.9844537877829, 1461.5792426704616, 360.045722936907]",210.5188,[14.7140644  19.35101852],0.2666666666666667
"[799.1957329340541, 1259.060562300321, 474.56512676344016]",188.829,[14.21612877 17.52131318],0.19999999999999996
"[799.1957329340541, 1259.060562300321, 474.56512676344016]",188.8291,[16.46002834 17.08316198],0.1333333333333333
"[847.4904990804911, 1094.0010539445104, 604.8306093706733]",187.1894,[19.93479752 19.06121474],0.06666666666666665
"[190.77355455033594, 1032.7549511456095, 1296.3673511454112]",219.4972,[14.4772703  14.60850591],1.0
"[362.70119705665434, 872.396147599432, 1374.462890858218]",119.2382,[10.43887728 13.96883211],0.9333333333333333
"[362.70056544688487, 872.396710319044, 1374.462549571828]",119.2388,[10.02514238 12.8674954 ],0.8666666666666667
"[389.9419070582181, 810.7793601715574, 1280.1631657254477]",108.9126,[13.66707972 17.60478471],0.8
"[455.1197425911119, 785.5916878991274, 1132.9142156828116]",100.4277,[19.93036629 20.59739355],0.7333333333333334
"[493.97275924869587, 790.6516596325906, 1072.77287758396]",98.79811,[17.82519999 18.66383849],0.6666666666666667
"[513.5456674973026, 795.801402741444, 1045.3603171180978]",98.0308,[16.85390768 17.46197936],0.6
"[598.3960321020269, 820.8415018963466, 951.0511506935103]",106.5779,[17.82061532 13.65998085],0.5333333333333333
"[598.3897427794698, 820.8607459634552, 951.0340710319899]",106.6015,[16.25475979 16.85599533],0.4666666666666667
"[681.487762794388, 844.1548026508526, 885.618366362453]",106.5945,[19.45731176 19.38476216],0.4
"[799.8836124970421, 892.3099335664252, 807.6701836401528]",106.5485,[17.7379846  13.87967765],0.33333333333333337
"[999.117745229171, 983.131358889453, 738.3075435289975]",111.3031,[16.83266235 17.01017263],0.2666666666666667
"[1088.305719209817, 1035.286651350628, 723.8883190553615]",111.3642,[18.76818909 18.97591673],0.19999999999999996
"[1154.4191557707406, 1077.201583367955, 720.7874493985239]",111.4176,[17.74223953 17.43545883],0.1333333333333333
"[1154.4195112595803, 1077.206888195953, 720.7820252869853]",111.425,[14.68208693 18.23894319],0.06666666666666665
