"[1396.3402505212925, 662.6695822397962, 1341.986750763906]","[10.811598338264659, 20.846955737304523]","[1348.6604517816113, 621.3651214863766, 1329.5210228498756]"
"[1348.6604517816113, 621.3651214863766, 1329.5210228498756]","[16.907344034333644, 20.426213762651972]","[1293.1798747235357, 585.0183145765435, 1308.6559992564812]"
"[1293.1798747235357, 585.0183145765435, 1308.6559992564812]","[25.6521838230968, 29.50557999634393]","[1180.7579960881253, 535.1869255933348, 1262.3203481391106]"
"[1180.7579960881253, 535.1869255933348, 1262.3203481391106]","[21.73397462065158, 24.245498587562064]","[1102.8090194565966, 520.1345723895115, 1228.788660997008]"
"[1102.8090194565966, 520.1345723895115, 1228.788660997008]","[10.967939214185323, 4.659658156863243]","[1074.7999557066655, 516.9816870906067, 1218.207496605997]"
"[1074.7999557066655, 516.9816870906067, 1218.207496605997]","[13.914020332805876, 13.456596448265564]","[1033.7452662455726, 510.9966687612846, 1207.4424191178352]"
"[1033.7452662455726, 510.9966687612846, 1207.4424191178352]","[18.835666830455057, 28.149039971552607]","[939.0381741847613, 521.0200500712522, 1177.3845134773303]"
"[939.0381741847613, 521.0200500712522, 1177.3845134773303]","[1.9952989175549385, 18.243501439160944]","[908.3662223457949, 538.0068344350004, 1159.0849122901955]"
"[908.3662223457949, 538.0068344350004, 1159.0849122901955]","[29.79296815321926, 28.26708739775622]","[830.3006163356137, 604.8776351356529, 1096.1463376243612]"
"[830.3006163356137, 604.8776351356529, 1096.1463376243612]","[26.85237438589131, 8.059449392472644]","[756.7067631283937, 658.7069130988765, 1055.8870040701565]"
"[756.7067631283937, 658.7069130988765, 1055.8870040701565]","[21.795199428484565, 28.12760946074995]","[667.2987352965039, 716.2821693497009, 1029.342742787024]"
"[667.2987352965039, 716.2821693497009, 1029.342742787024]","[27.963997251052305, 0.1733286784017063]","[625.9701822179651, 737.714029299967, 1028.526027393567]"
"[625.9701822179651, 737.714029299967, 1028.526027393567]","[7.610167626569786, 20.452359650789486]","[567.7669356073229, 760.0244819536605, 1043.6190939077965]"
"[567.7669356073229, 760.0244819536605, 1043.6190939077965]","[29.04604705182744, 29.772408053466812]","[462.4600725834178, 824.3166131613872, 1059.4214075304783]"
"[462.4600725834178, 824.3166131613872, 1059.4214075304783]","[13.321030254843192, 14.895289929274902]","[415.43047647404256, 856.063923304475, 1069.2960304721278]"
"[415.43047647404256, 856.063923304475, 1069.2960304721278]","[8.32760378394447, 1.7402330892667262]","[392.2928689335048, 871.3467822951319, 1076.218014630902]"
"[392.2928689335048, 871.3467822951319, 1076.218014630902]","[28.952094901668197, 8.45058276341457]","[338.039644398109, 896.094504605848, 1117.1624417177654]"
"[338.039644398109, 896.094504605848, 1117.1624417177654]","[1.5664959011677604, 27.86643665535023]","[301.67249064364484, 916.5907983452267, 1146.4930752565147]"
"[301.67249064364484, 916.5907983452267, 1146.4930752565147]","[24.76645261892123, 1.095582259331629]","[256.2035496174087, 949.4842909898825, 1179.4348896130555]"
"[256.2035496174087, 949.4842909898825, 1179.4348896130555]","[18.667978696399594, 12.102169830711077]","[236.28232905615266, 963.7282910780403, 1225.0092158935784]"
"[236.28232905615266, 963.7282910780403, 1225.0092158935784]","[6.4323780569670035, 0.13389794749140482]","[234.57328887614207, 966.1664804029222, 1238.9957174478734]"
"[234.57328887614207, 966.1664804029222, 1238.9957174478734]","[11.84783468152559, 22.58412874479878]","[233.78722955413966, 982.0814572644167, 1295.506321367287]"
"[233.78722955413966, 982.0814572644167, 1295.506321367287]","[10.09193031158348, 21.074634787433176]","[231.93267289176833, 1010.492219047094, 1337.0624984475182]"
"[231.93267289176833, 1010.492219047094, 1337.0624984475182]","[4.686768391232745, 18.49510828402096]","[227.71049385228162, 1039.106149058146, 1360.4356026693986]"
"[224.89317509077503, 1047.5614255032544, 1363.9420736242466]","[27.163434056468574, 2.8298599218517873]","[189.28795320912528, 1094.1537411306053, 1354.4814835316502]"
"[189.28795320912528, 1094.1537411306053, 1354.4814835316502]","[16.680291680989587, 23.285863234172073]","[169.03440895998065, 1157.550651769697, 1361.3656347258254]"
"[169.03440895998065, 1157.550651769697, 1361.3656347258254]","[3.730816612434975, 20.197779229563572]","[154.53164187938987, 1212.6815032571164, 1354.5091909403716]"
"[154.53164187938987, 1212.6815032571164, 1354.5091909403716]","[14.3574293862719, 9.355501893650159]","[148.2810908835311, 1250.3758802510586, 1342.793536592134]"
"[148.2810908835311, 1250.3758802510586, 1342.793536592134]","[15.9024607501409, 6.7818571128849054]","[157.41054040908446, 1284.523257178273, 1339.4184403060458]"
"[157.41054040908446, 1284.523257178273, 1339.4184403060458]","[7.387338925762138, 22.15928406011021]","[182.4495446405389, 1337.778126723389, 1332.6776940954403]"
"[182.4495446405389, 1337.778126723389, 1332.6776940954403]","[3.893959212989805, 21.59136893702376]","[194.72667441133999, 1369.5015143209225, 1312.8227289803067]"
"[847.1666797741277, 848.6091190409867, 848.4493402670071]","[3.529496637289764, 13.460516602497762]","[870.1469378019808, 866.3396445772086, 831.2586007772577]"
"[870.1469378019808, 866.3396445772086, 831.2586007772577]","[17.863871935629465, 18.418936906918283]","[927.6482148967993, 902.2224706807177, 801.9685396580209]"
"[927.6482148967993, 902.2224706807177, 801.9685396580209]","[11.831626319320312, 4.372761500621288]","[949.1746050898045, 918.3765148060932, 790.1290217093575]"
