"[384.1550333475927, 874.4577117541419, 1082.4964709625108]","[1.594102e-07, 155.3921, 2.300678e-07]","[9.668893070286003, 1.6479842894132235]","[384.1550333475927, 874.4577117541419, 1082.4964709625108]","[1.594102e-07, 155.3921, 2.300678e-07]"
"[384.1550333475927, 874.4577117541419, 1082.4964709625108]","[1.594102e-07, 155.3921, 2.300678e-07]","[27.47985842791775, 6.501035420538096]","[290.73241527872324, 920.4457492398996, 1164.827634156144]","[-1.99112e-06, 89.26427, 3.283148e-06]"
"[290.73241527872324, 920.4457492398996, 1164.827634156144]","[-1.99112e-06, 89.26427, 3.283148e-06]","[23.60218787387063, 10.284761328728028]","[290.73241527872324, 920.4457492398996, 1164.827634156144]","[-1.99112e-06, 89.26427, 3.283148e-06]"
"[290.73241527872324, 920.4457492398996, 1164.827634156144]","[-1.99112e-06, 89.26427, 3.283148e-06]","[8.852251595132392, 24.256086464155963]","[324.35042179399125, 887.4432917758407, 1312.9822223160297]","[-2.386372e-06, 90.42406, 1.774393e-05]"
"[324.35042179399125, 887.4432917758407, 1312.9822223160297]","[-2.386372e-06, 90.42406, 1.774393e-05]","[18.307484262270734, 3.7417488081764128]","[324.35042179399125, 887.4432917758407, 1312.9822223160297]","[-2.386372e-06, 90.42406, 1.774393e-05]"
"[324.35042179399125, 887.4432917758407, 1312.9822223160297]","[-2.386372e-06, 90.42406, 1.774393e-05]","[18.462898579039862, 0.8365531994923525]","[324.35042179399125, 887.4432917758407, 1312.9822223160297]","[-2.386372e-06, 90.42406, 1.774393e-05]"
"[376.47018513328516, 864.4115456738706, 1388.541465097204]","[-5.825264e-07, 18.29072, -1.390928e-06]","[18.88124599632205, 11.640907983905203]","[452.5557477858612, 748.2026896864378, 1301.7041387558158]","[-5.239909e-06, 301.8915, 2.605805e-06]"
"[452.5557477858612, 748.2026896864378, 1301.7041387558158]","[-5.239909e-06, 301.8915, 2.605805e-06]","[14.047516328211625, 18.28956653005989]","[452.5557477858612, 748.2026896864378, 1301.7041387558158]","[-5.239909e-06, 301.8915, 2.605805e-06]"
"[452.5557477858612, 748.2026896864378, 1301.7041387558158]","[-5.239909e-06, 301.8915, 2.605805e-06]","[1.1649758132854904, 26.51275222453608]","[539.3218561533085, 679.1348500295431, 1216.1685016989422]","[-8.422134e-07, 327.6636, 4.664115e-07]"
"[539.3218561533085, 679.1348500295431, 1216.1685016989422]","[-8.422134e-07, 327.6636, 4.664115e-07]","[29.17631928750858, 4.552527121648023]","[539.3218561533085, 679.1348500295431, 1216.1685016989422]","[-8.422134e-07, 327.6636, 4.664115e-07]"
